Date,Tm,Opp,Pos,PtsO,Pen,Yds,Pts,Pen,Yds
September 7 2014,Chicago Bears,Buffalo Bills,Referee,23,9,108,20,4,43
September 14 2014,Oakland Raiders,Houston Texans,Referee,30,7,85,14,5,24
September 21 2014,Cincinnati Bengals,Tennessee Titans,Referee,7,11,99,33,7,50
October 2 2014,Green Bay Packers,Minnesota Vikings,Referee,10,9,91,42,5,30
October 12 2014,New York Jets,Denver Broncos,Referee,31,11,101,17,2,9
October 19 2014,St. Louis Rams,Seattle Seahawks,Referee,26,10,86,28,2,20
October 26 2014,New England Patriots,Chicago Bears,Referee,23,5,41,51,7,38
November 2 2014,Miami Dolphins,San Diego Chargers,Referee,0,7,57,37,3,25
November 9 2014,Buffalo Bills,Kansas City Chiefs,Referee,17,3,19,13,6,44
November 17 2014,Tennessee Titans,Pittsburgh Steelers,Referee,27,4,39,24,1,10
November 23 2014,Atlanta Falcons,Cleveland Browns,Referee,26,5,30,24,7,40
November 30 2014,Minnesota Vikings,Carolina Panthers,Referee,13,4,35,31,5,25
December 7 2014,Washington Redskins,St. Louis Rams,Referee,24,11,98,0,5,51
December 21 2014,New York Jets,New England Patriots,Referee,17,5,38,16,2,14
December 28 2014,Tampa Bay Buccaneers,New Orleans Saints,Referee,23,2,15,20,4,23
September 13 2015,Oakland Raiders,Cincinnati Bengals,Referee,33,6,50,13,5,32
September 20 2015,New York Giants,Atlanta Falcons,Referee,24,6,65,20,6,35
October 4 2015,New Orleans Saints,Dallas Cowboys,Referee,20,6,30,26,8,64
October 11 2015,Green Bay Packers,St. Louis Rams,Referee,10,8,40,24,7,67
October 18 2015,Jacksonville Jaguars,Houston Texans,Referee,31,10,69,20,7,64
October 25 2015,Tennessee Titans,Atlanta Falcons,Referee,10,6,53,7,5,45
November 8 2015,Indianapolis Colts,Denver Broncos,Referee,24,8,56,27,4,30
November 12 2015,New York Jets,Buffalo Bills,Referee,22,5,44,17,3,20
November 22 2015,Philadelphia Eagles,Tampa Bay Buccaneers,Referee,45,9,82,17,5,25
November 30 2015,Cleveland Browns,Baltimore Ravens,Referee,33,7,50,27,2,15
December 6 2015,New Orleans Saints,Carolina Panthers,Referee,41,8,87,38,11,104
December 13 2015,Green Bay Packers,Dallas Cowboys,Referee,7,6,30,28,8,69
December 20 2015,Minnesota Vikings,Chicago Bears,Referee,17,6,39,38,4,45
December 27 2015,Tennessee Titans,Houston Texans,Referee,34,4,28,6,4,43
January 3 2016,Arizona Cardinals,Seattle Seahawks,Referee,36,6,70,6,6,43
September 11 2016,Baltimore Ravens,Buffalo Bills,Referee,7,8,89,13,6,35
September 18 2016,Detroit Lions,Tennessee Titans,Referee,16,12,83,15,17,138
September 25 2016,Philadelphia Eagles,Pittsburgh Steelers,Referee,3,7,77,34,10,99
October 3 2016,Minnesota Vikings,New York Giants,Referee,10,8,69,24,6,37
October 16 2016,Green Bay Packers,Dallas Cowboys,Referee,30,7,60,16,5,23
October 23 2016,Miami Dolphins,Buffalo Bills,Referee,25,6,45,28,13,116
October 30 2016,Houston Texans,Detroit Lions,Referee,13,8,75,20,6,49
November 6 2016,San Diego Chargers,Tennessee Titans,Referee,35,8,57,43,14,107
November 13 2016,Arizona Cardinals,San Francisco 49ers,Referee,20,9,100,23,2,10
November 20 2016,Cleveland Browns,Pittsburgh Steelers,Referee,24,8,70,9,9,52
November 27 2016,New York Jets,New England Patriots,Referee,22,2,15,17,6,66
December 11 2016,Indianapolis Colts,Houston Texans,Referee,22,7,124,17,9,59
December 15 2016,Seattle Seahawks,Los Angeles Rams,Referee,3,8,76,24,13,86
December 24 2016,Chicago Bears,Washington Redskins,Referee,41,7,73,21,4,52
January 1 2017,Denver Broncos,Oakland Raiders,Referee,6,13,125,24,5,43
January 7 2017,Seattle Seahawks,Detroit Lions,Referee,6,7,68,26,6,40
September 10 2017,Washington Redskins,Philadelphia Eagles,Referee,30,8,76,17,2,15
September 17 2017,Denver Broncos,Dallas Cowboys,Referee,17,8,69,42,8,61
October 1 2017,Seattle Seahawks,Indianapolis Colts,Referee,18,5,31,46,6,45
October 8 2017,Oakland Raiders,Baltimore Ravens,Referee,30,1,5,17,3,24
October 15 2017,Houston Texans,Cleveland Browns,Referee,17,11,72,33,4,44
October 22 2017,Los Angeles Rams,Arizona Cardinals,Referee,0,10,65,33,6,45
November 5 2017,Jacksonville Jaguars,Cincinnati Bengals,Referee,7,8,77,23,5,50
November 12 2017,Tampa Bay Buccaneers,New York Jets,Referee,10,8,77,15,6,50
November 19 2017,New York Giants,Kansas City Chiefs,Referee,9,9,87,12,5,48
November 27 2017,Baltimore Ravens,Houston Texans,Referee,16,6,36,23,7,89
December 3 2017,Atlanta Falcons,Minnesota Vikings,Referee,14,6,51,9,7,55
December 10 2017,Buffalo Bills,Indianapolis Colts,Referee,7,2,20,13,2,10
December 17 2017,New York Giants,Philadelphia Eagles,Referee,34,7,44,29,5,67
December 24 2017,Kansas City Chiefs,Miami Dolphins,Referee,13,11,75,29,5,40
December 31 2017,New England Patriots,New York Jets,Referee,6,9,84,26,4,49
January 14 2018,Pittsburgh Steelers,Jacksonville Jaguars,Referee,45,3,40,42,4,25
September 9 2018,Denver Broncos,Seattle Seahawks,Referee,24,7,45,27,7,60
September 16 2018,New York Jets,Miami Dolphins,Referee,20,2,10,12,7,50
September 27 2018,Los Angeles Rams,Minnesota Vikings,Referee,31,4,35,38,2,15
October 7 2018,Kansas City Chiefs,Jacksonville Jaguars,Referee,14,5,45,30,11,105
October 14 2018,Cleveland Browns,Los Angeles Chargers,Referee,38,10,72,14,6,53
October 21 2018,Indianapolis Colts,Buffalo Bills,Referee,5,7,59,37,4,35
October 28 2018,Arizona Cardinals,San Francisco 49ers,Referee,15,5,59,18,9,62
November 4 2018,New England Patriots,Green Bay Packers,Referee,17,7,63,31,5,30
