Date,Tm,Opp,Pos,PtsO,Pen,Yds,Pts,Pen,Yds
September 8 2008,Oakland Raiders,Denver Broncos,Field Judge,41,3,15,14,10,96
September 14 2008,St. Louis Rams,New York Giants,Field Judge,41,7,69,13,5,40
September 21 2008,San Francisco 49ers,Detroit Lions,Field Judge,13,9,61,31,3,30
October 5 2008,Dallas Cowboys,Cincinnati Bengals,Field Judge,22,7,44,31,6,52
October 12 2008,San Diego Chargers,New England Patriots,Field Judge,10,6,73,30,3,20
October 19 2008,Miami Dolphins,Baltimore Ravens,Field Judge,27,7,67,13,6,28
November 2 2008,Tennessee Titans,Green Bay Packers,Field Judge,16,4,41,19,2,15
November 6 2008,Cleveland Browns,Denver Broncos,Field Judge,34,3,30,30,3,20
November 16 2008,Carolina Panthers,Detroit Lions,Field Judge,22,1,14,31,7,55
November 23 2008,Kansas City Chiefs,Buffalo Bills,Field Judge,54,6,45,31,9,75
November 30 2008,Minnesota Vikings,Chicago Bears,Field Judge,14,5,50,34,4,30
December 7 2008,New Orleans Saints,Atlanta Falcons,Field Judge,25,5,34,29,3,30
December 14 2008,Cincinnati Bengals,Washington Redskins,Field Judge,13,9,75,20,6,41
December 21 2008,New England Patriots,Arizona Cardinals,Field Judge,7,3,20,47,7,65
December 28 2008,New York Jets,Miami Dolphins,Field Judge,24,6,30,17,5,36
September 10 2009,Pittsburgh Steelers,Tennessee Titans,Field Judge,10,5,28,13,6,60
September 20 2009,San Francisco 49ers,Seattle Seahawks,Field Judge,10,6,45,23,6,54
September 27 2009,San Diego Chargers,Miami Dolphins,Field Judge,13,7,39,23,3,20
October 4 2009,New Orleans Saints,New York Jets,Field Judge,10,3,21,24,7,70
October 18 2009,Cincinnati Bengals,Houston Texans,Field Judge,28,7,60,17,4,45
October 26 2009,Washington Redskins,Philadelphia Eagles,Field Judge,27,12,66,17,6,60
November 8 2009,Jacksonville Jaguars,Kansas City Chiefs,Field Judge,21,1,10,24,5,31
November 15 2009,Carolina Panthers,Atlanta Falcons,Field Judge,19,4,26,28,5,48
November 22 2009,St. Louis Rams,Arizona Cardinals,Field Judge,21,6,40,13,7,50
November 26 2009,Detroit Lions,Green Bay Packers,Field Judge,34,7,57,12,3,28
December 6 2009,New York Giants,Dallas Cowboys,Field Judge,24,5,30,31,2,10
December 13 2009,Indianapolis Colts,Denver Broncos,Field Judge,16,7,65,28,4,20
December 20 2009,Baltimore Ravens,Chicago Bears,Field Judge,7,1,9,31,4,26
December 27 2009,Atlanta Falcons,Buffalo Bills,Field Judge,3,10,60,31,6,70
January 3 2010,Miami Dolphins,Pittsburgh Steelers,Field Judge,30,5,40,24,3,45
January 9 2010,Cincinnati Bengals,New York Jets,Field Judge,24,9,76,14,6,55
September 12 2010,Buffalo Bills,Miami Dolphins,Referee,15,3,15,10,5,35
September 19 2010,Detroit Lions,Philadelphia Eagles,Referee,35,9,75,32,9,51
September 26 2010,Kansas City Chiefs,San Francisco 49ers,Referee,10,6,55,31,7,40
October 3 2010,Tennessee Titans,Denver Broncos,Referee,26,6,74,20,10,111
October 10 2010,Oakland Raiders,San Diego Chargers,Referee,27,7,53,35,12,85
October 17 2010,Tampa Bay Buccaneers,New Orleans Saints,Referee,31,9,80,6,5,30
October 31 2010,Dallas Cowboys,Jacksonville Jaguars,Referee,35,6,36,17,3,20
November 7 2010,Cleveland Browns,New England Patriots,Referee,14,3,20,34,4,28
November 15 2010,Washington Redskins,Philadelphia Eagles,Referee,59,6,35,28,6,41
November 21 2010,Minnesota Vikings,Green Bay Packers,Referee,31,1,5,3,6,50
November 28 2010,Houston Texans,Tennessee Titans,Referee,0,10,79,20,6,68
December 5 2010,Arizona Cardinals,St. Louis Rams,Referee,19,2,15,6,6,54
