Date,Tm,Opp,Pos,PtsO,Pen,Yds,Pts,Pen,Yds
September 3 2000,New York Giants,Arizona Cardinals,Side Judge,16,1,5,21,9,68
September 18 2000,Washington Redskins,Dallas Cowboys,Side Judge,27,4,20,21,6,82
September 24 2000,Atlanta Falcons,St. Louis Rams,Side Judge,41,10,90,20,5,42
October 1 2000,Detroit Lions,Minnesota Vikings,Side Judge,31,10,72,24,9,55
October 8 2000,Cincinnati Bengals,Tennessee Titans,Side Judge,23,6,50,14,2,10
October 15 2000,Buffalo Bills,San Diego Chargers,Side Judge,24,12,88,27,10,103
October 22 2000,Oakland Raiders,Seattle Seahawks,Side Judge,3,10,68,31,10,90
October 29 2000,Dallas Cowboys,Jacksonville Jaguars,Side Judge,23,8,50,17,7,54
November 5 2000,Arizona Cardinals,Washington Redskins,Side Judge,15,8,59,16,8,74
November 12 2000,Indianapolis Colts,New York Jets,Side Judge,15,6,65,23,4,64
November 26 2000,Seattle Seahawks,Denver Broncos,Side Judge,38,5,53,31,5,43
December 3 2000,Washington Redskins,New York Giants,Side Judge,9,3,20,7,4,35
December 10 2000,Miami Dolphins,Tampa Bay Buccaneers,Side Judge,16,7,63,13,6,46
December 17 2000,Carolina Panthers,San Diego Chargers,Side Judge,22,10,95,30,7,45
December 24 2000,Indianapolis Colts,Minnesota Vikings,Side Judge,10,6,53,31,3,20
September 23 2001,Indianapolis Colts,Buffalo Bills,Side Judge,26,19,133,42,8,59
September 30 2001,St. Louis Rams,Miami Dolphins,Side Judge,10,5,30,42,9,59
October 7 2001,Atlanta Falcons,Chicago Bears,Side Judge,31,5,67,3,6,55
October 14 2001,Green Bay Packers,Baltimore Ravens,Side Judge,23,10,85,31,6,29
October 21 2001,Washington Redskins,Carolina Panthers,Side Judge,14,7,51,17,5,50
November 4 2001,Tennessee Titans,Jacksonville Jaguars,Side Judge,24,3,14,28,8,48
November 11 2001,Denver Broncos,San Diego Chargers,Side Judge,16,3,16,26,4,20
November 18 2001,Arizona Cardinals,Detroit Lions,Side Judge,38,6,69,45,5,59
November 25 2001,New York Giants,Oakland Raiders,Side Judge,28,4,30,10,5,40
November 29 2001,Kansas City Chiefs,Philadelphia Eagles,Side Judge,23,5,35,10,3,43
December 9 2001,Buffalo Bills,Carolina Panthers,Side Judge,24,5,40,25,9,125
December 23 2001,Indianapolis Colts,New York Jets,Side Judge,29,2,15,28,2,10
December 30 2001,Tennessee Titans,Cleveland Browns,Side Judge,41,3,25,38,6,50
September 8 2002,Houston Texans,Dallas Cowboys,Side Judge,10,9,117,19,11,80
September 15 2002,Cleveland Browns,Cincinnati Bengals,Side Judge,7,3,30,20,12,87
September 22 2002,New England Patriots,Kansas City Chiefs,Side Judge,38,1,5,41,12,100
September 29 2002,Green Bay Packers,Carolina Panthers,Side Judge,14,7,77,17,10,83
October 6 2002,Atlanta Falcons,Tampa Bay Buccaneers,Back Judge,20,6,35,6,6,41
October 13 2002,St. Louis Rams,Oakland Raiders,Side Judge,13,14,107,28,11,82
October 21 2002,Pittsburgh Steelers,Indianapolis Colts,Side Judge,10,7,55,28,4,38
October 28 2002,Philadelphia Eagles,New York Giants,Side Judge,3,9,75,17,9,65
November 3 2002,Indianapolis Colts,Tennessee Titans,Side Judge,23,5,45,15,6,48
November 10 2002,Jacksonville Jaguars,Washington Redskins,Side Judge,7,6,49,26,8,55
November 17 2002,Tennessee Titans,Pittsburgh Steelers,Side Judge,23,4,20,31,5,36
November 24 2002,Arizona Cardinals,Oakland Raiders,Side Judge,41,13,105,20,5,35
December 1 2002,Buffalo Bills,Miami Dolphins,Side Judge,21,5,38,38,7,56
December 8 2002,Seattle Seahawks,Philadelphia Eagles,Side Judge,27,3,15,20,8,56
December 15 2002,Denver Broncos,Kansas City Chiefs,Side Judge,24,10,93,31,3,25
December 22 2002,Cincinnati Bengals,New Orleans Saints,Side Judge,13,4,30,20,6,40
December 29 2002,Detroit Lions,Minnesota Vikings,Side Judge,38,7,79,36,6,60
January 11 2003,Tennessee Titans,Pittsburgh Steelers,Side Judge,31,6,41,34,8,92
September 7 2003,Detroit Lions,Arizona Cardinals,Side Judge,24,12,80,42,6,36
September 14 2003,St. Louis Rams,San Francisco 49ers,Side Judge,24,13,121,27,4,43
September 21 2003,Tennessee Titans,New Orleans Saints,Side Judge,12,5,27,27,3,14
September 28 2003,Buffalo Bills,Philadelphia Eagles,Side Judge,23,7,45,13,10,84
October 12 2003,New England Patriots,New York Giants,Side Judge,6,8,50,17,10,110
October 19 2003,Minnesota Vikings,Denver Broncos,Side Judge,20,5,40,28,14,108
October 26 2003,Tampa Bay Buccaneers,Dallas Cowboys,Side Judge,0,1,5,16,3,15
November 10 2003,Green Bay Packers,Philadelphia Eagles,Side Judge,17,6,40,14,4,33
November 16 2003,Chicago Bears,St. Louis Rams,Side Judge,23,7,45,21,6,47
November 23 2003,New York Jets,Jacksonville Jaguars,Side Judge,10,3,37,13,6,45
November 30 2003,New York Giants,Buffalo Bills,Side Judge,24,8,60,7,5,58
December 7 2003,Atlanta Falcons,Carolina Panthers,Side Judge,14,10,75,20,7,42
December 14 2003,Cincinnati Bengals,San Francisco 49ers,Side Judge,38,7,50,41,4,40
December 21 2003,Pittsburgh Steelers,San Diego Chargers,Side Judge,24,2,10,40,3,24
