YardLine,PenaltyTeam,PenaltyType,Referee,TeamType
63,ARI,ILLEGAL CONTACT,Terry McAulay,Defense
26,ATL,OFFENSIVE HOLDING,Terry McAulay,Defense
81,ARI,DEFENSIVE OFFSIDE,Terry McAulay,Defense
35,ARI,FALSE START,Terry McAulay,Offense
37,ARI,DEFENSIVE HOLDING,Terry McAulay,Defense
77,ARI,OFFENSIVE HOLDING,Terry McAulay,Offense
89,ATL,OFFENSIVE PASS INTERFERENCE,Terry McAulay,Offense
28,ATL,FALSE START,Terry McAulay,Offense
40,ATL,OFFENSIVE HOLDING,Terry McAulay,Offense
56,ARI,DEFENSIVE HOLDING,Terry McAulay,Defense
27,ATL,ILLEGAL CONTACT,Terry McAulay,Defense
18,ATL,DEFENSIVE HOLDING,Terry McAulay,Defense
98,ARI,DEFENSIVE OFFSIDE,Terry McAulay,Defense
30,ATL,ILLEGAL CONTACT,Terry McAulay,Defense
22,ATL,DEFENSIVE HOLDING,Terry McAulay,Defense
20,ATL,FACE MASK (15 YARDS),Terry McAulay,Defense
98,ATL,DEFENSIVE PASS INTERFERENCE,Terry McAulay,Defense
37,ARI,OFFENSIVE PASS INTERFERENCE,Terry McAulay,Offense
54,ARI,FACE MASK (15 YARDS),John Parry,Defense
86,ATL,UNNECESSARY ROUGHNESS,John Parry,Defense
70,ATL,DEFENSIVE HOLDING,John Parry,Defense
98,ARI,DEFENSIVE PASS INTERFERENCE,John Parry,Defense
62,ARI,DEFENSIVE PASS INTERFERENCE,John Parry,Defense
19,ARI,INTENTIONAL GROUNDING,John Parry,Offense
67,ATL,OFFENSIVE HOLDING,John Parry,Offense
50,ARI,OFFENSIVE HOLDING,John Parry,Offense
57,ARI,DEFENSIVE OFFSIDE,John Parry,Defense
28,ARI,ILLEGAL CONTACT,John Parry,Defense
36,ATL,DEFENSIVE HOLDING,John Parry,Defense
28,ARI,OFFENSIVE HOLDING,John Parry,Offense
82,BAL,OFFENSIVE HOLDING,Ronald Torbert,Offense
35,ARI,FALSE START,Ronald Torbert,Offense
